종목코드,종목명,현재가,전일대비변동액,등락률,NAV,3개월수익률,거래량,거래대금(백만),시가총액(억),NAV괴리율(%),운용사
069500,KODEX 200,109600,1460,1.35,109820.0,12.0718,15101138,1712071,246764,-0.2,삼성자산운용 (KODEX)
360750,TIGER 미국S&P500,27575,205,0.75,27625.0,5.4697,33331418,919489,201491,-0.18,미래에셋자산운용 (TIGER)
133690,TIGER 미국나스닥100,190195,1285,0.68,191421.0,8.8,1610623,307259,113813,-0.64,미래에셋자산운용 (TIGER)
102110,TIGER 200,109700,1590,1.47,109880.0,11.9017,2309787,261756,101253,-0.16,미래에셋자산운용 (TIGER)
379800,KODEX 미국S&P500,25135,185,0.74,25186.0,5.4477,28362264,713369,100791,-0.2,삼성자산운용 (KODEX)
396500,TIGER 반도체TOP10,37030,-30,-0.08,37019.0,-0.7749,15482334,599151,96537,0.03,미래에셋자산운용 (TIGER)
379810,KODEX 미국나스닥100,28485,190,0.67,28665.0,8.8835,4029495,115106,89756,-0.63,삼성자산운용 (KODEX)
488770,KODEX 머니마켓액티브,104992,7,0.01,105001.0,0.8162,573758,60240,77003,-0.01,삼성자산운용 (KODEX)
278530,KODEX 200TR,39595,590,1.51,39614.0,11.7141,1913872,78345,76141,-0.05,삼성자산운용 (KODEX)
459580,KODEX CD금리액티브(합성),1075260,80,0.01,1075301.0,0.7088,305222,328193,67820,-0.0,삼성자산운용 (KODEX)
381180,TIGER 미국필라델피아반도체나스닥,46792,282,0.61,47774.0,24.9821,1816442,86451,62678,-2.06,미래에셋자산운용 (TIGER)
122630,KODEX 레버리지,121285,3220,2.73,121861.0,9.0468,12005930,1554056,61188,-0.47,삼성자산운용 (KODEX)
0167A0,SOL AI반도체TOP2플러스,18295,-5,-0.03,18308.0,38.5314,18371518,352139,58910,-0.07,신한자산운용 (SOL)
498400,KODEX 200타겟위클리커버드콜,20990,305,1.47,21018.0,9.7981,5324128,115528,56736,-0.13,삼성자산운용 (KODEX)
091160,KODEX 반도체,128295,270,0.21,128661.0,10.7874,1186195,159643,56386,-0.28,삼성자산운용 (KODEX)
310970,TIGER MSCI Korea TR,48830,515,1.07,48918.0,13.9504,10305,523,44338,-0.18,미래에셋자산운용 (TIGER)
148020,RISE 200,110440,1465,1.34,110315.0,12.0025,772971,88113,44176,0.11,KB자산운용 (RISE)
458730,TIGER 미국배당다우존스,15455,95,0.62,15438.0,6.6204,1358690,20974,41404,0.11,미래에셋자산운용 (TIGER)
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,13460,50,0.37,13469.0,19.5167,8826092,121518,41295,-0.07,KB자산운용 (RISE)
360200,ACE 미국S&P500,27875,220,0.8,27924.0,5.4105,385904,10760,41227,-0.18,한국투자신탁운용 (ACE)
229200,KODEX 코스닥150,12705,55,0.43,12724.0,-36.3543,20594529,268380,40605,-0.15,삼성자산운용 (KODEX)
395160,KODEX AI반도체TOP2플러스,41300,135,0.33,41320.0,32.2884,6031413,262256,40474,-0.05,삼성자산운용 (KODEX)
411060,ACE KRX금현물,27210,575,2.16,27363.0,-15.5785,547907,14876,40189,-0.56,한국투자신탁운용 (ACE)
381170,TIGER 미국테크TOP10 INDXX,32270,185,0.58,32375.0,1.2943,406098,13109,39369,-0.32,미래에셋자산운용 (TIGER)
395270,HANARO Fn K-반도체,58390,205,0.35,58321.0,34.3148,1453462,89249,37194,0.12,NH-Amundi자산운용 (HANARO)
273130,KODEX 종합채권(AA-이상)액티브,109195,-245,-0.22,109340.0,-3.7341,31016,3387,36830,-0.13,삼성자산운용 (KODEX)
0193T0,KODEX SK하이닉스단일종목레버리지,14610,205,1.42,14691.0,,225811930,3634518,36744,-0.55,삼성자산운용 (KODEX)
367380,ACE 미국나스닥100,32705,230,0.71,32909.0,8.8089,444470,14580,36172,-0.62,한국투자신탁운용 (ACE)
357870,TIGER CD금리투자KIS(합성),57785,0,0.0,57789.0,0.7058,173631,10033,35908,-0.01,미래에셋자산운용 (TIGER)
423160,KODEX KOFR금리액티브(합성),110815,5,0.0,110813.0,0.6523,48903,5419,35738,0.0,삼성자산운용 (KODEX)
102780,KODEX 삼성그룹,25235,380,1.53,25277.0,11.7629,812230,21151,33159,-0.17,삼성자산운용 (KODEX)
0043B0,TIGER 머니마켓액티브,103087,12,0.01,103085.0,0.8167,81130,8363,29463,0.0,미래에셋자산운용 (TIGER)
487240,KODEX AI전력핵심설비,34550,1450,4.38,34602.0,-14.2872,2429810,84995,29402,-0.15,삼성자산운용 (KODEX)
139260,TIGER 200 IT,140205,135,0.1,140381.0,31.9561,393228,58086,27284,-0.13,미래에셋자산운용 (TIGER)
455890,RISE 머니마켓액티브,55255,-5,-0.01,55261.0,0.7658,199604,11029,27131,-0.01,KB자산운용 (RISE)
481050,KODEX CD1년금리플러스액티브(합성),1023380,95,0.01,1023402.0,0.7282,13195,13503,26761,-0.0,삼성자산운용 (KODEX)
233740,KODEX 코스닥150레버리지,6095,35,0.58,6124.0,-63.6691,71488306,458602,26355,-0.47,삼성자산운용 (KODEX)
426030,TIME 미국나스닥100액티브,49295,900,1.86,50091.0,8.0848,543893,27311,25436,-1.59,기타
278540,KODEX MSCI Korea TR,38920,475,1.24,38954.0,13.5578,33712,1359,23741,-0.09,삼성자산운용 (KODEX)
449170,TIGER KOFR금리액티브(합성),111395,5,0.0,111397.0,0.6323,68044,7579,23575,-0.0,미래에셋자산운용 (TIGER)
161510,PLUS 고배당주,24920,270,1.1,24969.0,-9.5991,600702,15083,23407,-0.2,한화자산운용 (PLUS)
456600,TIME 글로벌AI인공지능액티브,61497,607,1.0,62372.0,18.9722,259656,16296,23086,-1.4,기타
0195S0,TIGER SK하이닉스단일종목레버리지,12310,225,1.86,12395.0,,107464297,1466202,22783,-0.69,미래에셋자산운용 (TIGER)
0193W0,KODEX 삼성전자단일종목레버리지,13775,225,1.66,13853.0,,60979090,896756,22584,-0.56,삼성자산운용 (KODEX)
486290,TIGER 미국나스닥100타겟데일리커버드콜,11360,60,0.53,11424.0,8.2961,1436869,16373,22004,-0.56,미래에셋자산운용 (TIGER)
472150,TIGER 배당커버드콜액티브,21350,260,1.23,21349.0,12.4532,4268813,94121,21709,0.0,미래에셋자산운용 (TIGER)
284430,KODEX 200미국채혼합50,21565,180,0.84,21593.0,2.9648,789450,17327,21341,-0.13,삼성자산운용 (KODEX)
385540,RISE 종합채권(A-이상)액티브,102285,-220,-0.21,102294.0,-3.6653,320,32,21185,-0.01,KB자산운용 (RISE)
292150,TIGER 코리아TOP10,38560,490,1.29,38610.0,11.9922,497062,19810,20745,-0.13,미래에셋자산운용 (TIGER)
214980,KODEX 단기채권PLUS,114475,10,0.01,114508.0,0.4897,28128,3219,18951,-0.03,삼성자산운용 (KODEX)
294400,KIWOOM 200TR,143530,1715,1.21,143487.0,12.12,124642,18535,18372,0.03,기타
442580,PLUS 글로벌HBM반도체,107750,1830,1.73,109137.0,48.0348,662140,73962,18350,-1.27,한화자산운용 (PLUS)
105190,ACE 200,109955,1780,1.65,110025.0,11.5139,273950,31108,18143,-0.06,한국투자신탁운용 (ACE)
487230,KODEX 미국AI전력핵심인프라,23115,575,2.55,23243.0,-4.4557,653226,15211,17290,-0.55,삼성자산운용 (KODEX)
446770,ACE 글로벌반도체TOP4 Plus,83670,370,0.44,84619.0,25.4494,273635,23353,17152,-1.12,한국투자신탁운용 (ACE)
441640,KODEX 미국배당커버드콜액티브,13130,70,0.54,13146.0,2.7532,671431,8812,16774,-0.12,삼성자산운용 (KODEX)
368590,RISE 미국나스닥100,31675,225,0.72,31873.0,8.9133,570907,18143,15742,-0.62,KB자산운용 (RISE)
379780,RISE 미국S&P500,24045,200,0.84,24092.0,5.5566,163128,3924,15533,-0.2,KB자산운용 (RISE)
453850,ACE 미국30년국채액티브(H),7285,-30,-0.41,7290.0,-2.334,691620,5038,15415,-0.07,한국투자신탁운용 (ACE)
466920,SOL 조선TOP3플러스,28010,1030,3.82,28024.0,-28.8029,1246474,35044,15097,-0.05,신한자산운용 (SOL)
